source;target;weight
Dziedzic Andrzej;Stojek Krzysztof;2
Dziedzic Andrzej;Turkiewicz Marta;1
Dziedzic Andrzej;Solnica Natalia;1
Dziedzic Andrzej;Gierczak Mirosław Gracjan;7
Dziedzic Andrzej;Prorok Mariusz;2
Dziedzic Andrzej;Malecha Karol;1
Dziedzic Andrzej;Koztowski J.;1
Dziedzic Andrzej;Pinczakowski W.;5
Dziedzic Andrzej;Górecka-Drzazga Anna;1
Dziedzic Andrzej;Murawski Edward;1
Dziedzic Andrzej;Prociów Eugeniusz L.;8
Dziedzic Andrzej;Pražmowska Joanna;4
Dziedzic Andrzej;Bochenek Andrzej;5
Dziedzic Andrzej;Terech D.;2
Dziedzic Andrzej;Świetlik Tomasz;2
Dziedzic Andrzej;Barycka Irena;1
Dziedzic Andrzej;Młynarczyk Ksenia;2
Dziedzic Andrzej;Straszewski Leszek;5
Dziedzic Andrzej;Seweryn Artur;7
Dziedzic Andrzej;Nitsch Karol;24
Dziedzic Andrzej;Golonka I.;1
Dziedzic Andrzej;Łukaszewicz Marian;8
Dziedzic Andrzej;Reiner Jacek;1
Dziedzic Andrzej;Wiśniewski Kamil;2
Dziedzic Andrzej;Jakubowicz Abram;2
Dziedzic Andrzej;Dziuban Jan Andrzej;3
Dziedzic Andrzej;Hołodnik Barbara;2
Dziedzic Andrzej;Osypiuk Paweł;1
Paszkiewicz Regina;Badura Mikolaj;1
Paszkiewicz Regina;Tłaczał M.;1
Paszkiewicz Regina;Orski Wojciech;1
Paszkiewicz Regina;Romanowski A.;2
Paszkiewicz Regina;Wosko Mateusz;30
Paszkiewicz Regina;Piasecki Tomasz;5
Paszkiewicz Regina;Gryglewicz Jacek;3
Paszkiewicz Regina;TŁaczaŁa Marek J.;59
Paszkiewicz Regina;Popiolłek-Masajada Agnieszka;1
Paszkiewicz Regina;Gotszalk Teodor Paweł;2
Paszkiewicz Regina;Bacia Marcin;1
Paszkiewicz Regina;Sęk Grzegorz;1
Paszkiewicz Regina;Zubel Irena;1
Paszkiewicz Regina;Drobczyński Sławomir;1
Paszkiewicz Regina;Motyka Marcin;4
Paszkiewicz Regina;Leniec Monika;1
Paszkiewicz Regina;Ryczko Krzysztof;2
Paszkiewicz Regina;Zborowska-Lindert Iwona;1
Paszkiewicz Regina;Syperek Marcin;9
Paszkiewicz Regina;Utko M.;1
Paszkiewicz Regina;Znamirowski Zbigniew;2
Paszkiewicz Regina;Muszyńska Donata;1
Paszkiewicz Regina;Serafińczuk Jarosław;15
Paszkiewicz Regina;Panek Marek;20
Paszkiewicz Regina;Bryja Leszek;3
