"source","target","weight"
"Muszyński-Huhajło Mateusz","Janiak Kamil","1"
"Muszyński-Huhajło Mateusz","Jurga Anna","1"
"Muszyński-Huhajło Mateusz","Kuźma Joanna","1"
"Nowak Józef","Gotszalk Ryszard","1"
"Nowak Józef","Kałwak Andrzej","2"
"Nowak Józef","Nowak Józef","2"
"Abel Tomasz","Abel Tomasz","1"
"Spalding George R.","Spalding George R.","1"
"Gomółka E.","Gomółka B.","1"
"Gomółka E.","Gomółka E.","2"
"Różański Roman","Różański Roman","2"
"Karabon Bohdan","Szypula H.","3"
"Karabon Bohdan","Karabon Bohdan","5"
"Karabon Bohdan","Ciesielski Boleslaw","3"
"Basztura Czesław","Basztura Czesław","1"
"Basztura Czesław","Jurkiewicz Jerzy","1"
"Dzidowski Edward Stanisław","Lawrusewicz S.","1"
"Dzidowski Edward Stanisław","Dzidowski Stanislaw","2"
"Dzidowski Edward Stanisław","Dzidowski Edward Stanisław","4"
"Dzidowski Edward Stanisław","Cisek Wojciech","1"
"Smołalski Grzegorz","Smołalski Grzegorz","4"
"Smołalski Grzegorz","Muciek Andrzej Konstanty","1"
"Czechowski Robert","Czechowski Robert","1"
"Górnicz Tomasz","Górnicz Tomasz","1"
"Gomółka B.","Gomółka B.","1"
"Gomółka B.","Gomółka E.","1"
"Matyschok Helmut","Matyschok Helmut","2"
"Idczak Henryk","Bogusz Bolesaw","2"
"Idczak Henryk","Idczak Henryk","1"
"Dudycz Tadeusz","Kowalski Michał J.","1"
"Dudycz Tadeusz","Praźników Jadwiga","1"
"Kowalski Michał J.","Kowalski Michał J.","1"
"Kowalski Michał J.","Praźników Jadwiga","1"
"Malec Tomasz","Malec Tomasz","4"
"Bober Waldemar","Tarczewski Romuald","2"
"Broesterhuizen Guus","Broesterhuizen Guus","1"
"Pawlaczyk Leszek","Pawlaczyk Leszek","3"
"Tarnawski Maciek","Tarnawski Maciek","4"
"Krzemiński S.","Krzemiński S.","1"
"Składzień Jerzy","Szymków Janusz","1"
"Roter Witold","Roter Witold","2"
"Roter Witold","Hotloś Marian","2"
"Mazurkiewicz Mariusz","Mazurkiewicz Mariusz","1"
"Krajewski Zbigniew","Krajewski Zbigniew","2"
"Habrat Tomasz","Rudno-Rudziñska Barbara","2"
"Habrat Tomasz","Habrat Tomasz","2"
"Poroś Dariusz","Poroś Dariusz","2"
"Poroś Dariusz","Zaborski Stanisław","2"
"Goldsztejn Paweł","Goldsztejn Paweł","1"
"Pacyna Józef M.","Pacyna Józef M.","1"
"Pacyna Józef M.","Głowiak Bohdan J.","1"
"Gaj Miron","Gaj Miron","1"
"Malara Zbigniew","Malara Zbigniew","1"
"Szwechłowicz Marek","Kutyłowski Ryszard","2"
"Szwechłowicz Marek","Szwechłowicz Marek","2"
"Wilk Marcin J.","Wilk Marcin J.","2"
"Wilk Marcin J.","Wink Marcin","1"
"Wilk Marcin J.","Makowski Krzysztof","3"
"Ciesielski Boleslaw","Szypula H.","3"
"Ciesielski Boleslaw","Karabon Bohdan","4"
"Ciesielski Boleslaw","Ciesielski Boleslaw","3"
"Kreczmer Bogdan","Kreczmer Bogdan","2"
"Szlezak Tomasz","Mydlikowski Remigiusz","5"
"Szymków Janusz","Szymków Janusz","1"
"Szandała Tomasz","Szyc Kamil","1"
"Szandała Tomasz","Szandała Tomasz","1"
"Ćmielewski Bartłomiej","Ćmielewski Bartłomiej","1"
"Bardowski Paweł","Klink Janusz Henryk","2"
"Jaroszewski Marcin","Jaroszewski Marcin","2"
"Demichowicz-Pigoniowa J.","Demichowicz-Pigoniowa J.","1"
"Gładysz Jacek","Gładysz Jacek","2"
"Piotrowicz Jerzy","Piotrowicz Jerzy","1"
"Kmiecik Marcin","Wróblewski Wiesław A.","1"
"Kmiecik Marcin","Kmiecik Marcin","1"
"Pikuła Rafał","Pikuła Rafał","1"
"Pikuła Rafał","Downarowicz Tomasz","1"
"Wierzejewski J.","Broesterhuizen Guus","1"
"Sysak Zdzisław","Sysak Zdzisław","1"
"Amrogowicz J.","Amrogowicz J.","1"
"Dzikiewicz J.","Dzikiewicz J.","2"
"Kaszuba Roman M.","Kaszuba Roman M.","1"
"Cisek Wojciech","Dzidowski Edward Stanisław","2"
"Grz⇓ślewicz Ryszard","Grz⇓ślewicz Ryszard","1"
"Grz⇓ślewicz Ryszard","Grząiślewicz Ryszard","1"
"Przemyslaw Szulc","Szulc Przemysław","1"
"Wójcik Michal Stanislaw","Wójcik Michal Stanislaw","1"
"Grys Szymon","Gorgolewski Aleksander","1"
"Grys Szymon","Tuzik Aleksander","1"
"Grys Szymon","Jurga Anna","1"
"Grys Szymon","Kuźma Joanna","1"
"Grys Szymon","Kielar Jakub","1"
"Grys Szymon","Orzechowski Leszek","1"
"Grys Szymon","Popowski Jan","1"
"Szypula H.","Szypula H.","1"
"Szypula H.","Karabon Bohdan","1"
"Kotowski Mateusz","Kotowski Mateusz","1"
"Kraszewski Jarosław","Kraszewski Jarosław","1"
"Thomys Janus","Dudek Wiesław A.","2"
"Dołçga Waldemar","Dołȩga Waldemar","1"
"Jurzyk E.","Jurzyk E.","1"
"Jurzyk E.","Stawarz L.","1"
"Jurzyk E.","Gregorczyk Z.","1"
"Gregorczyk Z.","Jurzyk E.","1"
"Gregorczyk Z.","Stawarz L.","1"
"Gregorczyk Z.","Gregorczyk Z.","1"
"Eisler Marek","Koch Tomasz","1"
"Eisler Marek","Eisler Marek","1"
"Kazimierczak Krzysztof","Kazimierczak Krzysztof","1"
"Paslawski Mateusz","Klink Janusz Henryk","1"
"Pawlowski Piotr","Klink Janusz Henryk","1"
"Mikołajów Mateusz","Słonina Daria","1"
"Dobrowolski Wiesław","Zabawa Jacek","1"
"Dobrowolski Wiesław","Mielczarek Bo̊zena","1"
"Dobrowolski Wiesław","Hajłasz Maria","1"
"͆wia¸tek-Tran B.","Świa̧tek-Tran Beata","1"
"Awski Jan Stanis","Juroszek Barbara K.","1"
"Hotlo Marian","Hotloś Marian","1"
"Bajoreki Jerzy","Nowak Józef","1"
"Pałczyński R. J.","Pacyna Józef M.","1"
"Pałczyński R. J.","Głowiak Bohdan J.","1"
"Góral J.","Jurzyk E.","1"
"Góral J.","Stawarz L.","1"
"Góral J.","Gregorczyk Z.","1"
"Gregorzyk Z.","Jurzyk E.","1"
"Gregorzyk Z.","Stawarz L.","1"
"Gregorzyk Z.","Gregorczyk Z.","1"
"WoŁlowiec Piotr","WoŁowiec Piotr","1"
"Gradalski Przemyslaw","Krajna Łukasz","1"
"Lekow J.","Różański Roman","1"
