"source","target","weight"
"Cyganowski Piotr","Bezak Katarzyna","1"
"Szafran Roman Grzegorz","Bezak Katarzyna","1"
"Bryjak M.","Bezak Katarzyna","14"
"Radziejowska Mariola","Bezak Katarzyna","1"
"Witek Anna","Bezak Katarzyna","2"
"Kujawska Małgorzata","Bezak Katarzyna","1"
"Kowalska Izabela","Bezak Katarzyna","1"
"Wolska Joanna A.","Bezak Katarzyna","7"
"Poźniak Gryzelda","Bezak Katarzyna","1"
"Witek-Krowiak Anna","Bezak Katarzyna","1"
"Popko Małgorzata","Borkowska-Burnecka Jolanta","1"
"Popko Małgorzata","Artmańska Małgorzata","2"
"Popko Małgorzata","Żyrnicki Wieslław","1"
"Popko Małgorzata","Mironiuk Małgorzata","1"
"Popko Małgorzata","Michalak Izabela","1"
"Popko Małgorzata","Biegańska Sylwia","2"
"Popko Małgorzata","Lasowska Joanna","1"
"Popko Małgorzata","Barańska Marzanna","2"
"Popko Małgorzata","Pohl Pawel","1"
"Popko Małgorzata","Wełna Maja","1"
"Popko Małgorzata","Szymczycha Anna","1"
"Popko Małgorzata","Popko Małgorzata","1"
"Pohl Pawel","Popko Małgorzata","1"
"Szymczycha Anna","Popko Małgorzata","1"
"Wełna Maja","Popko Małgorzata","1"
"Michalak Izabela","Popko Małgorzata","1"
"Jagiełło Monika","Noworyta Andrzej W.","1"
"Jagiełło Monika","Chojnacki Andrzej","1"
"Biskupski Andrzej","Hoffmann Krystyna","2"
"Biskupski Andrzej","Syper Ludwik","1"
"Biskupski Andrzej","Hoffmann Józef","3"
"Biskupski Andrzej","Gtowiłski Józef","3"
"Biskupski Andrzej","Barańska Marzanna","1"
"Biskupski Andrzej","Licznerski Benedykt W.","1"
"Biskupski Andrzej","Głowiński Józef","1"
"Biskupski Andrzej","Teterycz Helena","1"
"Biskupski Andrzej","Biskupski Andrzej","23"
"Biskupski Andrzej","Słonka Tadeusz","1"
"Biskupski Andrzej","Popławski Dariusz","1"
"Biskupski Andrzej","Tylus W.","1"
"Hahnefeld K.","Biskupski Andrzej","1"
"Kuropka Józef","Biskupski Andrzej","1"
"Nieweś Dominik","Biskupski Andrzej","1"
"Popławski Dariusz","Biskupski Andrzej","1"
"Łuszkiewicz Dariusz","Biskupski Andrzej","1"
"Hardy Tomasz","Biskupski Andrzej","1"
"Modliński Norbert J.","Biskupski Andrzej","1"
"Głowiński Józef","Biskupski Andrzej","1"
"Kordylewski WŁodzimierz K.","Biskupski Andrzej","5"
"Hoffmann Józef","Biskupski Andrzej","2"
"Tyc Aleksandra","Biskupski Andrzej","1"
"Kȩdzior Renata","Biskupski Andrzej","1"
"Wyciszkiewicz Małgorzata","Biskupski Andrzej","1"
"HaŁat Adam","Biskupski Andrzej","1"
"Jȩdrusik Maria","Biskupski Andrzej","1"
"Witek-Krowiak Anna","Biskupski Andrzej","1"
"Hoffmann Krystyna","Biskupski Andrzej","1"
"Saeid Agnieszka","Biskupski Andrzej","1"
"Teterycz Helena","Biskupski Andrzej","1"
"Chojnacki Andrzej","Sadowski Zygmunt","1"
"Chojnacki Andrzej","Matynia Andrzej","1"
"Chojnacki Andrzej","Noworyta Andrzej W.","2"
"Chojnacki Andrzej","Gołab Z.","1"
"Chojnacki Andrzej","Chojnacki Andrzej","1"
"Kwašnicki R.","Chojnacki Andrzej","1"
"Ligas Bartosz","Chojnacki Andrzej","1"
"Izydorczyk Grzegorz","Chojnacki Andrzej","1"
"Skrzypczak Dawid","Chojnacki Andrzej","2"
"Adamski Zbigniew","Chojnacki Andrzej","1"
"Wojciechowski Piotr M.","Chojnacki Andrzej","1"
"Samoraj Mateusz","Chojnacki Andrzej","4"
"Tuhy Łukasz","Chojnacki Andrzej","2"
"Sadowski Zygmunt","Chojnacki Andrzej","1"
"Kafarski Paweł","Chojnacki Andrzej","1"
"Zielińjska Agnieszka","Chojnacki Andrzej","1"
"Kocek Daria","Chojnacki Andrzej","1"
"Mikula Katarzyna","Chojnacki Andrzej","2"
"Barańska Marzanna","Chojnacki Andrzej","1"
"Wyciszkiewicz Małgorzata","Chojnacki Andrzej","1"
"Baśladyńska Sylwia","Chojnacki Andrzej","1"
"Chojnacka Katarzyna","Chojnacki Andrzej","6"
"Mironiuk Małgorzata","Chojnacki Andrzej","2"
"Dawiec-Liśniewska Anna","Chojnacki Andrzej","1"
"Dmytryk Agnieszka","Chojnacki Andrzej","1"
"Witkowska Zuzanna","Chojnacki Andrzej","3"
"Podstawczyk Daria Anna","Chojnacki Andrzej","3"
"Apostoluk Wiesław S.","Chojnacki Andrzej","1"
"Charewicz Witold A.","Chojnacki Andrzej","1"
"Witek-Krowiak Anna","Chojnacki Andrzej","6"
"Saeid Agnieszka","Chojnacki Andrzej","17"
"Michalak Izabela","Chojnacki Andrzej","14"
"Woźniak Barbara","Wódka Jerzy","1"
"Woźniak Barbara","Łuszczkiewicz Andrzej","2"
"Woźniak Barbara","Trochimczuk Andrzej W.","1"
"Woźniak Barbara","Ochromowicz Katarzyna","2"
"Woźniak Barbara","Woźniak Barbara","3"
"Woźniak Barbara","Gibas Krzysztof","2"
"Woźniak Barbara","Pilśniak Magdalena Rabiega","1"
"Woźniak Barbara","DrzymaŁa Jan","1"
"Woźniak Barbara","Apostoluk Wiesław S.","1"
"Woźniak Barbara","Chmielewski Tomasz","3"
"Gibas Krzysztof","Woźniak Barbara","1"
"Adamski Zbigniew","Woźniak Barbara","1"
"Chmielewski Tomasz","Woźniak Barbara","4"
"Matuska Sabina","Woźniak Barbara","1"
"Pilśniak Magdalena Rabiega","Woźniak Barbara","1"
"Ochromowicz Katarzyna","Woźniak Barbara","1"
"WoŁowiec Paulina","Woźniak Barbara","2"
"Apostoluk Wiesław S.","Woźniak Barbara","1"
"Trochimczuk Andrzej W.","Woźniak Barbara","1"
"Michalak Izabela","Woźniak Barbara","1"
"Dmytryk Agnieszka","Baśladyńska Sylwia","1"
"Dmytryk Agnieszka","Tuhy Łukasz","4"
"Dmytryk Agnieszka","Witkowska Zuzanna","1"
"Dmytryk Agnieszka","Witek-Krowiak Anna","3"
"Dmytryk Agnieszka","Sówka Izabela","1"
"Dmytryk Agnieszka","Michalak Izabela","7"
"Dmytryk Agnieszka","Saeid Agnieszka","1"
"Dmytryk Agnieszka","Lejczak Barbara","1"
"Dmytryk Agnieszka","Majewska Paulina","1"
"Dmytryk Agnieszka","Bryjak Jolanta","1"
"Dmytryk Agnieszka","Labus Karolina","1"
"Dmytryk Agnieszka","Chojnacka Katarzyna","1"
"Dmytryk Agnieszka","Dmytryk Agnieszka","1"
"Dmytryk Agnieszka","Rekuć Adriana","1"
"Dmytryk Agnieszka","Miller Urszula","1"
"Dmytryk Agnieszka","Kafarski Paweł","1"
"Pacyga Pawel","Dmytryk Agnieszka","1"
"Strub Daniel Jan","Dmytryk Agnieszka","2"
"Detyna Jerzy","Dmytryk Agnieszka","1"
"Samoraj Mateusz","Dmytryk Agnieszka","1"
"Tuhy Łukasz","Dmytryk Agnieszka","1"
"Pacholska Paulina","Dmytryk Agnieszka","1"
"Hrydziuszko Zofia","Dmytryk Agnieszka","2"
"Baśladyńska Sylwia","Dmytryk Agnieszka","1"
"Mironiuk Małgorzata","Dmytryk Agnieszka","2"
"Dawiec-Liśniewska Anna","Dmytryk Agnieszka","1"
"Labus Karolina","Dmytryk Agnieszka","1"
"Olsztyńska-Janus Sylwia","Dmytryk Agnieszka","1"
"Podstawczyk Daria Anna","Dmytryk Agnieszka","1"
"Witek-Krowiak Anna","Dmytryk Agnieszka","2"
"Saeid Agnieszka","Dmytryk Agnieszka","2"
"Bryjak Jolanta","Dmytryk Agnieszka","3"
"Michalak Izabela","Dmytryk Agnieszka","11"
"Labuda MaŁgorzata","Hoffmann Krystyna","1"
"Labuda MaŁgorzata","Skut Jakub","1"
"Labuda MaŁgorzata","Saeid Agnieszka","4"
"Labuda MaŁgorzata","Hoffmann Józef","1"
"Labuda MaŁgorzata","Labuda MaŁgorzata","3"
"Samoraj Mateusz","Labuda MaŁgorzata","1"
"Hoffmann Józef","Labuda MaŁgorzata","1"
"Wyciszkiewicz Małgorzata","Labuda MaŁgorzata","6"
"Baśladyńska Sylwia","Labuda MaŁgorzata","1"
"Saeid Agnieszka","Labuda MaŁgorzata","11"
"Prusisz Bartłomiej","Zyrnicki Wieslaw","1"
"Prusisz Bartłomiej","Żyrnicki Wieslław","5"
"Prusisz Bartłomiej","Pohl Pawel","3"
"Prusisz Bartłomiej","Prusisz Bartłomiej","15"
"Zyrnicki Wieslaw","Prusisz Bartłomiej","1"
"Grȩda Krzysztof","Prusisz Bartłomiej","3"
"Jamróz Piotr","Prusisz Bartłomiej","9"
"Żyrnicki Wieslław","Prusisz Bartłomiej","2"
"Pohl Pawel","Prusisz Bartłomiej","40"
"Bogdal Zaneta","Prusisz Bartłomiej","1"
"Bunio Paulina","Prusisz Bartłomiej","1"
